Battery_ID,Cycle_Index,Discharge_Capacity_Ah,SOH_Pct,Max_Discharge_Voltage_V,Min_Discharge_Voltage_V,Mean_Discharge_Voltage_V,Mean_Discharge_Current_A,Max_Discharge_Temp_C,Mean_Discharge_Temp_C,Discharge_Duration_s,Time_to_3_5V_s,Time_to_3_2V_s,CC_Charge_Time_s,CV_Charge_Time_s,Total_Charge_Time_s,Max_Charge_Temp_C,Electrolyte_Resistance_Re,Charge_Transfer_Resistance_Rct,RUL
B0005,1,1.383806949407692,1.3838069494076926,-0.04356619775552215,1.0227403448643124,0.657039012588541,0.1497063970437844,-0.40995800191360404,0.2522442330504624,2.3687616797486273,1.1669149770355802,1.2610639401450836,-2.5204005917021712,-1.136169122372546,-3.2805182333232774,-1.3046208896116416,-1.579926163440089,-1.5266154946253507,124
B0005,2,1.332650130800279,1.3326501308002787,-0.244141280557954,0.9077889839148838,0.814772647737505,0.16083318949632264,-0.3743266090441234,0.4098182147603607,2.2948381196522303,1.2909640247485932,1.2197593983831374,1.2799857043032028,-0.7754140888377506,0.15835178877582567,-0.33387037045739715,-1.579926163440089,-1.5266154946253507,123
B0005,3,1.2773752354990207,1.277375235499021,-0.4292972803973795,1.2022742695138955,0.9498749997903425,0.17128966683537863,-0.5236246323397984,0.32493081599801593,2.209290916484219,1.2918468742125697,1.220655923944533,1.2755833861734267,-0.8055078406169155,0.12128594039541654,-0.22570491781143484,-1.579926163440089,-1.5266154946253507,122
B0005,4,1.2769388659137875,1.2769388659137872,-0.3972743729218285,0.9339081066989107,0.9483880652658534,0.08260905951079327,-0.5629262219811345,0.19303910197833937,2.12632628598587,1.3342149504591794,1.2206927044803852,1.245280394343442,-0.8753932533652873,0.019164831976467504,-0.2753272604512998,-1.579926163440089,-1.5266154946253507,121
B0005,5,1.2738321516973823,1.2738321516973827,-0.4162505420739224,0.7267098579347828,0.9205351909408085,0.07749664907974915,-0.6303478152813006,0.05646679157058689,2.1164463959808115,1.331905625013999,1.2167066139074103,1.24378198388453,-0.7714488765670036,0.1338435241025863,-0.2625362502039046,-1.579926163440089,-1.5266154946253507,120
B0005,6,1.2789485120073818,1.2789485120073811,-0.3558790181534436,0.6062382465233258,0.8993007134987824,0.16812992864465132,-0.5703072190584195,0.10988195602598134,2.211935470897952,1.332516661219362,1.219543312735006,1.2450739204613088,-0.45791803065447295,0.48439643962327217,-0.3063000692747225,-1.579926163440089,-1.5266154946253507,119
B0005,7,1.2763528650625482,1.2763528650625482,-0.40538341054469,0.4559617027689707,0.892780253143317,0.1683221400768272,-0.5222996429402701,0.157527332166129,2.205931505955523,1.3713511651039956,1.2171732669560342,1.2649839019527573,-0.47502943855279184,0.4812299393022167,-0.2844963846120431,-1.579926163440089,-1.5266154946253507,118
B0005,8,1.229077145915841,1.2290771459158403,-0.34279787480876184,1.262747684134907,1.1687760930902937,-0.1000783996818646,-0.7334938661373763,0.08543766803879953,1.8820768931799405,1.377602870052107,1.1788479485981105,1.2651903758348906,-1.1754301151039708,-0.2994037198621291,-0.24745050438230307,-1.579926163440089,-1.5266154946253507,117
B0005,9,1.2241280206634853,1.2241280206634853,-0.3309683396766749,0.9835615627513218,1.1435584142641089,-0.19391151946428103,-0.7271367921845617,0.019153499202851074,1.7917529636021232,1.37359308086104,1.1750756448897757,1.2415255193154995,-1.136912269327054,-0.2753739066702327,-0.1665877296807624,-1.579926163440089,-1.5266154946253507,116
B0005,10,1.2233194721007619,1.223319472100761,-0.30830626010218776,0.75144137878824,1.107135836732529,-0.19018206017351758,-0.7266404939521611,-0.05230624840009668,1.7944636318762,1.3744454872400524,1.1756871212983175,1.2340364166478273,-1.1165957098411783,-0.2587094180062718,-0.11004894711986968,-1.579926163440089,-1.5266154946253507,115
B0005,11,1.2233511132158543,1.2233511132158537,-0.34417919411125275,0.3855170697429239,1.0668486957776762,-0.2855613874884619,-0.7165856997403686,-0.17566373299624416,1.7076891901755655,1.3752587525098239,1.1766572079314177,1.230970279498144,-1.1595565807244586,-0.30905170576777913,-0.1449974834786199,-1.579926163440089,-1.5266154946253507,114
B0005,12,1.170898045851406,1.1708980458514053,-0.2321163690351488,1.1915669106259286,1.2872306463883574,-0.3789765493493782,-0.7301236998020469,0.03763122135714825,1.545569740381152,1.3757023517478815,1.1776272945645179,1.235326878411162,-1.2748807256098116,-0.4341325930312092,-0.10131787909039675,-1.579926163440089,-1.5266154946253507,113
B0005,13,1.168633397748937,1.1686333977489372,-0.3009106898444745,0.8408416229574289,1.2519158992021893,-0.4728989142650534,-0.6880260009914984,-0.009644811645998005,1.4598903094924536,1.3758371711241535,1.13147002085358,0.8172865833226022,-1.425948864766238,-0.936577355548982,0.19573419816968654,-1.579926163440089,-1.5266154946253507,112
B0005,14,1.1670641470674723,1.167064147067472,-0.35331633183219496,0.6246270070385755,1.2015999313514862,-0.4721904878272898,-0.7312927414539776,-0.17566704234682062,1.458729184820174,1.3338757275124298,1.1309688860525948,1.1972575189860684,-1.3119461049351195,-0.5058720323853513,0.030041090574225535,-1.579926163440089,-1.5266154946253507,111
B0005,15,1.1124718396672009,1.1124718396672009,-0.32150898425082647,1.3966235401377247,1.3501348948856684,-0.4649493209387643,-0.9446695182142929,-0.29213681809014086,1.3773140979236216,1.3337387336300883,1.1318309298616294,1.2093775358673062,-0.4689510673033088,0.4435736865076491,0.08912535635743325,-1.579926163440089,-1.5266154946253507,110
B0005,16,1.1099991168640637,1.1099991168640642,-0.3096313764766253,1.148502323286012,1.3228760325883644,-0.566197092692551,-0.9552608899956422,-0.408046030899815,1.2909941890128482,1.3320078267992377,1.1286701025618364,1.2130896413053798,-1.3556511798809465,-0.5419432673415072,0.03401551762589756,-1.579926163440089,-1.5266154946253507,109
B0005,17,1.1123786773964695,1.1123786773964692,-0.3460566289948418,0.8472372551915361,1.2995021409895904,-0.6692391904655447,-0.8711457365760706,-0.39767725460763625,1.208670036536574,1.2938843863991367,1.085101259061493,1.1620227509999796,-1.2360647753646534,-0.4494347912704755,-0.07843926028014465,-1.579926163440089,-1.5266154946253507,108
